Time,Channel A,Channel B
(us),(V),(V)

0.05729406,1.10989800,3.21496700
0.05929406,0.62146280,3.17098300
0.06129406,0.31065450,3.12699900
0.06329406,0.17747290,3.08286200
0.06529406,0.04429134,3.08286200
0.06729406,-0.04429134,2.99489400
0.06929406,-0.13318160,2.99489400
0.07129406,-0.08873647,2.99489400
0.07329406,-0.04429134,2.99489400
0.07529406,-0.04429134,2.99489400
0.07729406,-0.08873647,2.99489400
0.07929406,-0.04429134,2.99489400
0.08129406,-0.04429134,2.99489400
0.08329406,-0.04429134,2.99489400
0.08529406,-0.04429134,2.99489400
0.08729406,-0.04429134,2.99489400
0.08929406,-0.04429134,2.99489400
0.09129406,-0.04429134,2.99489400
0.09329406,-0.04429134,3.03887800
0.09529406,-0.04429134,2.99489400
0.09729406,-0.04429134,2.99489400
0.09929406,-0.04429134,2.99489400
0.10129406,-0.04429134,3.03887800
0.10329406,-0.04429134,2.99489400
0.10529406,-0.04429134,3.03887800
0.10729406,-0.04429134,3.03887800
0.10929406,-0.04429134,2.99489400
0.11129406,0.00000000,3.03887800
0.11329406,-0.04429134,2.99489400
0.11529406,-0.04429134,3.03887800
0.11729406,0.00000000,3.03887800
0.11929406,-0.04429134,3.03887800
0.12129406,-0.04429134,2.99489400
0.12329406,-0.04429134,3.03887800
0.12529406,-0.04429134,2.99489400
0.12729406,-0.04429134,3.03887800
0.12929406,-0.04429134,2.99489400
0.13129406,-0.04429134,2.99489400
0.13329406,-0.04429134,3.03887800
0.13529406,-0.04429134,3.03887800
0.13729406,-0.04429134,2.99489400
0.13929406,-0.04429134,2.99489400
0.14129406,0.00000000,2.99489400
0.14329406,-0.04429134,2.99489400
0.14529406,-0.04429134,2.99489400
0.14729406,0.00000000,2.99489400
0.14929406,-0.04429134,3.03887800
0.15129406,-0.04429134,2.99489400
0.15329406,-0.04429134,2.99489400
0.15529406,0.00000000,2.99489400
0.15729406,-0.04429134,2.99489400
0.15929406,0.00000000,2.99489400
0.16129406,-0.04429134,3.03887800
0.16329406,0.00000000,2.99489400
0.16529406,0.00000000,3.03887800
0.16729406,0.00000000,2.99489400
0.16929406,-0.04429134,2.99489400
0.17129406,-0.04429134,3.03887800
0.17329406,0.00000000,3.03887800
0.17529406,-0.04429134,2.99489400
0.17729406,0.00000000,3.03887800
0.17929406,0.00000000,2.99489400
0.18129406,-0.04429134,2.99489400
0.18329406,-0.04429134,2.99489400
0.18529406,0.00000000,2.99489400
0.18729406,-0.04429134,2.99489400
0.18929406,-0.04429134,2.99489400
0.19129406,-0.04429134,2.99489400
0.19329406,0.00000000,2.99489400
0.19529406,-0.04429134,2.99489400
0.19729406,-0.04429134,3.03887800
0.19929406,0.00000000,2.99489400
0.20129406,-0.04429134,3.03887800
0.20329406,0.00000000,2.99489400
0.20529406,0.00000000,3.03887800
0.20729405,-0.04429134,2.99489400
0.20929405,-0.04429134,2.99489400
0.21129405,0.00000000,3.03887800
0.21329405,-0.04429134,2.99489400
0.21529405,-0.04429134,2.99489400
0.21729405,0.00000000,2.99489400
0.21929405,0.00000000,3.03887800
0.22129405,0.00000000,2.99489400
0.22329405,0.00000000,2.99489400
0.22529405,0.00000000,2.99489400
0.22729405,0.00000000,2.99489400
0.22929405,-0.04429134,3.03887800
0.23129405,0.00000000,2.99489400
0.23329405,0.00000000,3.03887800
0.23529405,0.00000000,3.03887800
0.23729405,0.00000000,2.99489400
0.23929405,0.00000000,2.99489400
0.24129405,0.00000000,3.03887800
0.24329405,0.00000000,2.99489400
0.24529405,0.00000000,3.03887800
0.24729405,0.00000000,2.99489400
0.24929405,0.00000000,2.99489400
0.25129405,-0.04429134,2.99489400
0.25329405,0.00000000,2.99489400
0.25529405,0.00000000,2.99489400
0.25729405,-0.04429134,3.03887800
0.25929405,0.00000000,3.03887800
0.26129405,0.00000000,2.99489400
0.26329405,0.00000000,2.99489400
0.26529405,0.00000000,3.03887800
0.26729405,0.00000000,3.03887800
0.26929405,0.00000000,2.99489400
0.27129405,0.00000000,2.99489400
0.27329405,-0.04429134,3.03887800
0.27529405,0.00000000,2.99489400
0.27729405,0.00000000,2.99489400
0.27929405,0.00000000,3.03887800
0.28129405,-0.04429134,2.99489400
0.28329405,0.00000000,2.99489400
0.28529405,0.00000000,3.03887800
0.28729405,0.00000000,2.99489400
0.28929405,0.00000000,2.99489400
0.29129405,0.00000000,3.03887800
0.29329405,0.00000000,2.99489400
0.29529405,-0.04429134,2.95075700
0.29729405,0.00000000,3.03887800
0.29929405,0.00000000,2.99489400
0.30129405,0.00000000,3.03887800
0.30329405,-0.04429134,3.03887800
0.30529405,0.00000000,3.03887800
0.30729405,0.00000000,2.99489400
